48.75,10,relu,0.1,50
49,100,tanh,0.01,10
49.75,50,tanh,0.01,10
50.875,50,tanh,0.01,50
52.125,100,tanh,0.01,50
60.375,100,relu,0.01,10
71.125,100,tanh,0.1,50
72.5,10,tanh,0.01,50
75.5,100,tanh,0.1,10
78.375,10,tanh,0.01,10
86.25,50,tanh,0.1,50
91.25,50,tanh,0.1,10
94.125,100,relu,0.01,50
96.625,50,relu,0.01,10
99.125,100,relu,0.1,10
99.75,10,relu,0.01,10
100,10,relu,0.01,50
100,10,relu,0.1,10
100,50,relu,0.1,10
100,10,tanh,0.1,10
100,10,tanh,0.1,50
100,50,relu,0.1,50
100,50,relu,0.01,50
100,100,relu,0.1,50